tweet,emotion
hati hati mimin tak semua polisi itu keluarga polisi baik ayah ibu suami istri anak polisi banyak sekali baik koreksi jadi oknum,1
polisi jahat selalu sehingga polisi baik hilang tempat hati publik lama polisi baik gak berani ungkap jahat dalam instansi emang orang jahat mana ada kayak taik bikin bau jijik aja bisa,1
bapak polisi baik hati bagaimana pak kasus km kasus kanjuruhan malang kasus gamma semarang bagai warga negara indonesia sekali kasus ham segara tuntas jangan yg tutup tutup,1
polisi yg baik hati masih banyak sejarah polri jg panjang liat laku oknum emang bikin sedih nkri pak tembak mati koruptor salah satu efek kecil nya sembuh institusi p,1
nyimak kasus sambil putar ulang bahas polisi baik hati karya band plat merah,1
adek yg bawa motor pernah alhamdulillah blm bawa polisi yg punya mobil baik hati jadi gk minta banyak awal an minta juta,1
mungkin besar personil seuleng udah dibikinin lagu polisi baik hati,1
kata polisi otak laku culika kenal baik sm si korban hasil sidi awal kata polisi laku sakit hati sm korban cuman sakit hati gmn lg dalam kasus sakit hati bs macam asumsi mslh hutang piutang at asmara si ko,1
kalau udah paksa nginep polsek sama pak polisi yang baik hati plus pukul manja tahan,1
the fiery priest orang pastor suka marahmarah polisi rada bloon sama junior suka ngerap jaksa cantik cerdik kerja sama ungkap mati orang pastor kepala baik hati apa jadi benar balik jadi,1
polisi baik hati,1
berita oknum polisi yg makin hari makin jadi moga luntur hati baik rekan polisi lain,1
makin yakin kalau slank bikin lagu polisi baik hati bentuk kritik sarkas wkwk,1
pak polisi baik hati benarbenar,1
kasihan yg benarbenar citacita dri kecil jdi polisi kasihan jga yg benarbenar kerja mnjadi polisi sedih hati nya smoga bapak ibu yg mnjadi polisi baik terus tetap mnjadi polisi baik jgn pengaruh hidup polri s,1
slank polisi baik hati,1
kok gue sedih di indonesia banyak orang kerja hanya penuh formalitas bukan benarbenar sepenuh hati layan buat baik harus profesi polisi refleksi tanggung jawab bukan citra,1
fyi smua institusi orang baik orang jahat sma polri gitu ada bad cop good cop jadi jangan lu smain pukul rata polisi smua jahat mungkin lebih banyak yg baik coba s,1
now playing polisi baik hati,1
biar oknum polisi langgar hukum proses di pecat polisi an polisi baik lebih banyak anggota polisi polda kaltara polresta bulungan layan sepenuh hati ke masyarakat,1
slankpolisi baik hati,1
polisi baik mitos polisi ayom mitos polisi lindung mitos polisi layan mitos polisi instrumen mati buat bunuh rakyat fakta tak polisi baik hati semua polisi jahat buang diksi oknum lembaga polisi,1
lagu soal polisi baik hati tidak bukti satu bahwa musik tidak selalu relevan zaman,1
request lagu polisi baik hati,1
sungguh sentuh hati aksi bapak selamat nyawa orang terimakasih polisi baik,1
dengan senang hati jelek bangsa sendiri jauh lebih hina oknumoknum polisi sangkut kasus jahat belakang,6
alm nenek waktu lebaran kapan nanya mulu soal pacar lah calon lah terus aku kasih foto responnya waduh jangan sama polisi dong awkwkwkekk terus nanya orang mana wkwkk w jawab senang hati kalimantan dinas awkwkwk bah,1
ih agam sekali polisipolisi bikin senang aja puji mungkin yang cari puji,1
kek kena algoritma ig gue kan senang sama postingan ig entertainment masih islami gitu kadang gue cek komennya kan sering polisi haram komentar tuh lah gue tanggepin cuman bilang slow aja meski nangga,4
oknum polisi bagus pecat jual homo manca negara pada datang senang hati sumber devisa negara,1
bro bintang benarbenar pikir masyarakat senang hadir polisi ditengahtengah giat seharihari,1
masyarakat senang polisi datang ada masalah yg hubung hukum bukan kek gin astaghfirullah,1
bela diri tutup salah sini orang luar bukti polisi indonesia senang suap pak kasus narkoba bisa tebus harta institusi jadi martabat,1
hakim jaksa polisi akan hisab pedih adil allah dunia bersenangsenang uang haram sogo turun akan giring sama laknatullah,1
maaf kalau asumsi mengadaada turut gamma sangat senang buat ulang trend dengan temantemannya sayang dan sudah bisa polisi,1
yang up fiksi naga bunuh as bapak x emsi as anak perempuan lalu polisi moral datang banyak polisi moral batas tidak senang fiksi dddne tetap meretweet bokep lads sandar hidup,1
wajah asli bajing sampah hama masyarakat indonesia selalu jaga lindung rezim bangsat negara jika viral dunia dengan senang tuju mereka hilang lenyap polisi sampah dari dunia,1
orang kalo udah urus polisi sangat senang kalo label ganggu jiwa bahkan tak sedikit pura pura gila kaum gak sentuh hukum hati label calon sangka cap,1
gak papa sih kang polisi tinggal bilang aja kalau sibuk butuh bantu mah jigana masyarakat senang hati ai aya lampu ijo ti polisi mah,1
kemudian injak patung hingga hancur berkepingkeping kerumun warga buat jumlah jalur utama purwakarta cekam macet lebih polisi bantu tni angkat muda siliwangi duga warga tak senang ada patungpatung wayang,1
haaaaa sehatttt gw ksh tau lo polisi d wilayah mayoritas kristen karna duduk tonjol extrim buruk lo kira gw duduk indonesia senang kondisi polisi itu gw ksh tau lo fa,1
siap pak polisi senang hati,1
sangat apresiasi terima kasih atas gerak cepat kerja keras seluruh anggota polri khusus sini polda sumatera barat polres padang pariaman kami sangat senang kerja polisi ujar anggota kompolnas poengky indarti jumat pasti,1
pak polisi titip pokoknyaaaa kalo nyawa bayar nyawaa yaa eh metong siksa dulu trus kepala didudukin sama gajah dulu gpp tidak protes malah dengan senang hati,1
kasih atas gerak cepat kerja keras seluruh anggota polri khusus sini polda sumatera barat polres padang pariaman sangat senang kerja polisi ujar anggota kompolnas poengky indarti jumat,1
gerak cepat kerja keras seluruh anggota polri khusus sini polda sumatera barat polres padang pariaman sangat senang kerja polisi ujar anggota kompolnas poengky indarti jumat pasti,1
gerak cepat kerja keras seluruh anggota polri khusus sini polda sumatera barat polres padang pariaman sangat senang kerja polisi ujar anggota kompolnas poengky indarti jumat,1
cepat kerja keras seluruh anggota polri khusus sini polda sumatera barat polres padang pariaman sangat senang kerja polisi ujar anggota kompolnas poengky indarti jumat pasti sama humanis jaga tertib,1
kompolnas sangat apresiasi terima kasih atas gerak cepat kerja keras seluruh anggota polri khusus sini polda sumatera barat polres padang pariaman kami sangat senang kerja polisi ujar anggota kompolnas poengky indarti jumat,1
minta bantu nitz anda gak mau bantu rakyat makin muak laku polisi negeri,1
tabrak aja trus ktr polisi dekat bukti dashcam sangat bantu,1
tugas polisi ayom bantu masyarakat bukan intimidasidiancam akan tangkap polisi goblog,1
anggota polsek ibun polresta bandung bantu mobil mogok jalan cukang monteng ibun polri,1
veteran mobil masuk median jalan ada polisi bantu sekarang proses evakuasi pdys,1
didik polisi untuk arang cerita lindung institusi ingat polisi bahwa hormat polisi jauh lebih penting nyawa warga sipil polisi boleh bantu jabat yg duit itu kerja suka,1
sdh saat rakyat satu saling bantu berantas begal klo supir mobil box jadi sangka polisi kita sama sama bela supir yg sdh ikut gagal aksi begal,1
dalia dengar kabar mike bunuh menang peluk polisi dalia semua jalan sesuai rencana sersan paul sheridan kemudian bujuk bawa kantor polisi bantu identifikasi sangka dapat reaksi dalia,1
kalau gitu di mana ada anak smk tembak oknum polisi lalu petinggi ikut bantu manipulasi kronologi bunuh bukti omong,1
anggota tugas pos pam mandi walik bantu unjung lansia,1
polisi kan kaum iman kaum tidak iman udah gag takut dosak rekayasa cerita bohong ngebunuh peras bantu curang milu persekusi intimidatif jadi tukang pukul cukong udah yg biasa gag semua polisi gitu yg bisak g,1
untung gue ngeh pas suruh buka mbanking langsung gue sumpah serapahin telfon lah malah gue anjing anjingin lapor polisi gak bantu malah gue bodoh bodohin pak polisi anjrot untung sih layang k g,1
masyarakat cuma perlu mereka sulit perlu lapor polisi polisi sigap bantu embel apa krn tugas kalian,1
pikir soal anak yatim bs pantau pak polisi tsb berkat rt rw desa rt rw punya kuat lbh jauh bantu dgn memberitahu pihak yg potensial ngebantu,1
personel pos pam legundi bantu dorong mobil simpang legundi,1
kapolsek kutasari bantu unjung kunjung obwis mandi walik,1
ku kan untuk saling bantu mereka sedang darurat moga selamat tuju polri,1
bapak dpr dijakartaminta bantuanpercuma lewat media sosialatau lapor polisi lapor tnidigedung dpr teriak kuat kuat telinga dengarnetizen bantu andanetizen dewa benar,1
flex x cop drama korea cerita jin yi soo orang chaebol generasi tiga jadi detektif guna kuasa bantu polisi pecah kasus review flex x cop,1
sebenernya polisi bantu masyarakat masyarakat bantu polisi,1
kayak jalan tuju makam sultan agung memang bebas kendara betul jalan tanjak jadi polisi tidur sedikit bantu bagi pijak,1
giat jumat berkah samping bentuk peduli polri masyarakat mudahmudah dpt bantu ringan beban masyarakat erat hubung polisi warga,1
kasus ini sangat rang bila polisi kunjung sekolah bilang terima bantu kalo ajar yg teror tolak,1
anggota polsek kutasari sedang pam obwis sanggaruli park bantu unjung,1
anggota polsek kaligondang bantu menyebrangkan anakanak pulang sekolah jalan raya kaligondang,1
rakyat usaha cegat tengah jalan nyaris tiap institusi negara aparat hobi malak coba kalian kantor polisi bilang mau cari sim,7
prosentase polisi yg bantu orang celaka warga sipil yg bantu orang celaka kira banyak mana ya motor aman ga pak,1
hilang nyawa rekayasa tangkap anggota polisi kasus tiap tahun bagaimana institusi polri mau percaya masyarakat dgn masyarakat tidak presisi humanis jadi layan ayom bantu dgn jargon sendiri aja abai,1
jangan suudzon sama ubel justru ubel bantu polisi bongkar kasus,1
ringkas tuju bantu pegang polisi kes naik premium jamin akses terus lindung takafulinsurans ubat faktor utama,1
lama hidup aku pernah lihat polisi sedia bantu orang kita squid game s e,1
ada pak ogah sering kali bantu utama simpang lampu lalu lintas di jalanjalan kecil polisi rw polsek tempur beri himbauan pak ogah bagaimana cara henti kendara tepat,1
momen peduli orang bhabinkamtibmas kel sukajadi polres prabumulih aiptu burmadi sh bantu warga beri sembako bila masalah butuh bantu polisi silah hubung no bantu polisi wa siap layan jam,1
puas lihat polisi bawah bajing dengan tarik rambut,1
akibat terlalu rakus duit kurang puas peras bangsa sendiri jadi warga asing hantam malu bangsa negara dapat pancing insiden polisi ysng ini cuma mutasi harus pecaat,1
km toll cikampek rest area tempat polisi bantai santri efpei sadis ada bacok kaki hampir putus polisi puas situ polisi lgsg letak senjata api fitnah jenazah mereka bun,1
ntar aku main tenis polisi di sesi aku rasa puas lahir batin,1
biasa survei bagus percaya masyarakat tingkat polisi publik puas gerak cepat polisi,1
muhammad rauf ayah bayi duga tukar rumah sakit rs islam cempaka putih jakarta pusat aku puas hasil tes dna sampai polisi lt,7
tiap hari isi jelek polisi kapolrinya cuma diam aja apa pak kapolri cukup puas kerja institusi,1
banyak banget konten tidak puas kerja polisiberarti jajar harus bubar,1
lu anak orang kaya tunggu gue hajar buat lu bukan lapor polisi kurang puas mungkin damai doang hukum laku cara mendoaka allah lu hidup jadi miskin lebi miskin bantu lu,1
kuasa hukum sebut keluarga siswa smk korban tembak polisi puas sanksi ptdh,1
aipda robig zaenudin anggota polisi tembak siswa smkn semarang hingga tewas resmi pecat tetap sangka tembak nilai langgar ham berat keluarga korban nyata puas putus henti hormat,1
tidak puas hasil pilkada desak kpu diskualifikasi paslon laku money politics demo pilkada ternate ricuh massa polisi saling dorong,1
udah kan udah puas ngehakimi gusgusan es teh goblok kan kapan nih bikin konten ngeviralin polisi nembak siswa smk dalih mu ga tuju jual agama apa beda kalian taikkk fomo share petisi bulshiit,1
kadang memang orang disurvey gak terlalu concern tanya berapa puas pada insttitusi polisi tidak sering singgung ada masalah polisi jadi puas puas aja jawab melih,1
proses selalu tutup buka mana mungkin publik puas kerja polisi,1
masyarakat puas ada tembak lakum polisi siswa prestasi cermin jumpah polling asal usul polisi sedang pimpin,1
puas jalan aksi biadab sum tinggal saja pinggir jalan gadis malang pun lapor polisi bukan bantu sum malah jadi sangka tuduh buat lapor palsu tulis buku hoegengoase sejuk tengah,1
penting tinggal ngeluarin hasil survei hasil masyarakat rasa puas hasil kerja polisi sekali pd mau bilang apa ga masalah hukum tang klo memang tega hukum ga bobrok indonesia sdh ser,1
bukan sender buku kisah orang ibu nama elena karena rasa puas lidi polisi kait mati putri rita pilih laku lidi mandiri nah makin rumit ka,1
agak sedikit kurang puas bagaimana lidi pip ravi akhir kurang masuk bikin narik napas aja entah juga timbul kesan kalau polisi justru kalah anak sma,1
tak puas cari makan jalan cara peras m,1
meski habis nyawa orang lebih bos sendiri husen aku sesal justru rasa puas dendam lampias juga aku serah diri kabur alas polisi kerja,1
gue lakuin biar makan enak marvino monolog hapus airmatanya yang cukup banyak telah puas adegan pertama marvino langsung hadap adegan lari kejar polisi ragu be,1
hasil survei tunjuk masyarakat puas kerja jokowi,1
it works the same way like in the private sector or any bureaucratic organisation kalau hang kerja lanyard kemudian hang kutuk bos polisi lanyard jangan kejut kalau hang kena tindak tatatertib lanyard kalau tak puas hati tempat kerja then cari kerja,1
nya mmg lapor polisi yah mau gimana pernah lihat gak warga yg puas kerja nya polisi,1
tangkap kamera peluk polisi mana harus sih enak sekarang peluk puas penjarakantor polisi,1
akhir laga sempat jadi ribut main tak puas kerja wasit rombong babel langsung ke hotel kawal polisi,1
art and plot pleasing sih turut unrealistic in some point aku sendiri puas banget baca wkwkwkw sadis tuh kriminal gmn polisi ngehukum dengan timpal but tw gore sa abuse etc yaa emng lingkup cit,1
ayooo pak lapor polisi cemar nama baik bukti pak kl g pernah korupsi tanya kek orang dongo hati pusing g tidurrrrr,1
when the cammelia is blooms offgun cocok off jd polisi tengil gun hidup brsm ponakan gun pindah tempat baru krn usaha ortunya bangkrut plus ortunya meninggoy nah gun rencana buka resto kecil ankafe aja deh hidup lingkung emak julid,1
moga semua ikut ngaji moga masa depan polri jadi baik para polisi terus baca quran moga hati akhlaq polisi jaga allah polisi cinta alquran aamiin,1
kok komentar begini ini apa sebenernya salah apa polisi wahai nitizen indonesia bukankah tugas polisi ayom pada kecewa berat begini pada hujat apa salah polisi bukan,1
pak polisi baik hati banyak polisi baik moga anak ada bantu urus,1
polisi baik hati dunia dongeng,1
nge fly sejak kyk nya beda nge fly jabat jadi lupa kl semua gara puja dan lagu polisi baik hati buat wkwkw,1
gera nyata bapak ibu polisi baik hati yaa allah angkat derajat bapak dn ibu polisi cc,1
sudah biar cangkeme polisi asal njeplak wong rakyat jateng maklum semua kok sampeyan sewot warga percaya polisi kok sampeyan malah gak percaya kasih ruang luas luas warga jateng nikmat hidup bareng pak p,1
kerja polisi apa si benar kalo mau deket ama masyarakat yah jadi polisi yg baik kalo kasus tangan sepenuh hati bukan malah jual,1
suami mba hana mas daichi yg polisi baik ga korup ga jahat sayang istri cinta mba hana sepenuh hati dg segala kegamonan mba hana kan by please bilang iya biar hati makin pedih,1
gak mereka jawab lama otak hati polisi jahat sama rakyat mereka kendali cukong gak jadi baik sama rakyat,1
banyak orang hati nya lebih baik ken jadi polisi pak ngapain pelihara polisi hati nya busuk anehh,1
polisi hati nya busuk kok pelihara cuma mutasi padahal banyak orang hati nya lebih baik gak jadi polisi,1
polisi baik hati lt,1
kalo ditolongin kita ditangkep polisi inget kasus bunuh begal malah pidana orang ga percaya sama tegak hukum,2
mulai percaya polisi,2
nimbrung kak pasu gihun pas awal kan renternir semua mereka protes soal yg ngutang ilang mungkin emg ga dilaporin krn kek ngehalu banget polisi pada ga percaya kannn,2
gue tdk percaya lembaga hukum skrg dari polisi yg buanyak sekali langgar hukum kpk yg jadi alat kuasa utk pukul lawan politik jagung yg tetiba melempem,2
bikin heran nunjukin senjata loh ide darimana kira netizen jaman now tolol semua percaya gitu aja polisi koclok enak men abis fitnah urus ilang gaada sangsi anggota dewan pada d,2
hampir nitizen yg komentar negatif pesimis tdk percaya rasa tidak puas instusi polri ayo dong pak saat bebenah aparat polisi yg laku tindak jahat bkn lg oknum tp real polisi,2
polisi bela sama anggota adil bagus harus percaya lembaga lembaga cuma escape nya orang miskin ingin survive bukan abdi negara,2
mending lu tidur biar orang percaya sama elu cees cees lu mana polisi jujur polisi tidur sama polisi patung,2
food yakin bukan makan gratis potong terus fear factor ga salah banyak kasus tembak polisi gitu crowding yakin sering macet gitu ale coverage percaya mabok semua emang utama yg perintah makan ngasih atur ga ngotak,2
stop main polisi polisi ak lebih percaya patoka pada polisi indo,7
dulu polisi nangkepin ngehukum jahat skrang jahat sudh jdi polisi dunia balik percaya gak percaya ini fakta sudh banyak,2
kan masalah bukan cuma soal sanksi pidana dengan polisi narkoba ini siapa yg percaya integritas tega hukum negara sirkus bener republik rasa balap liar,2
lebih percaya polisi tidur,2
parah gimana mau percaya polisi klo pola spt tdk profesional sebar fitnah,2
percaya polisi,2
liat komennya sini kok sampe segitu ga percaya nya ma polisi yah kok sama ma gw,2
kapan tau aja polisi kerjasama curi motor ayo orangorang udah gak percaya sama lu semua gak bakal mau,2
mending percaya lucinta luna gugur janin pada percaya polisi bawah,2
percaya adil tindak laku bagi kecil cermin seluruh institusi polisi kerja keras,2
lebih percaya nyaman titip tetangga pak pada polisi,2
capek bi cara polisi indonesia biar alam yg hukum manusia biasaserahkan pada sang ilahi alamak seleksi buat sbg polisi kalo gk percaya tuhansilahkan,2
waktu awal awal muncul kan gak percaya ama polisikatanya cebok aja dicebokin emaknya hehehehe,2
sorry kira kalau diagnosa ini lihat bagi luar jasad ini mah keliru harus periksa langsung dalam jasad apa benar zat bahaya masuk tubuh laku publik percaya kin,2
aparat polisi kan bekal dg bagai macam jaga tertib masyarakat tp kok gin aja hal macam jadi dan terus lalu mau harap siapa tertib masyarakat rakyat minta percaya polisi minta dukung kerja polisi tp kok gin,2
nya bohong yg struktur aneh bin ajaib apa iya percaya polisi apa ente ga punya agamaga ajarin ma bapak ibu jadi orang yg lebih baikatau anak nanti jadi jauh lebih buruk anda polisiapa yg an,2
orang tua pakai polisi tentara pegawai bank ibu rumah tangga sandal jepit beliau inggih pak percaya mohon bimbing anak pada orang guru yg blm genap tahun ajar sekali dan terus sembah nuwun gusti aku bangga jadi guru,2
aneh sih main krypto percaya polisi btw konteks dwong masalah apa sih pada rame bener muncul beranda,2
lebih percaya nahan berak pegang batu dr polisi,2
rakyat pada gk percaya sama polisi,2
sesuai alam nya jangan pernah percaya terang polisi awal kasus ungkap tunggu viral dulu muncul bukti bukti baru itu baru liat apa terang nya bukti benar apa ngarang,2
bhuhaha polisi polisi polisi masaa berita hari polisi kriminal bejad ampuuunn ampuuun banyak makan duit haram sehhh yaahh otak jadi rusak percaya dehh,2
polisi lagi polisi gimana rakyat mau percaya sama polisi kalo banyak kelakuanya kayak begini hmmmm,2
liput media ga ngaruh contoh tragedi kanjuruhan sampai negara belah tau lagi ada orang diselundupin demo buat nyulik bikin ricuh biar polisi gak salah liat aja pada percaya,2
asa hidup negara yg ada aparat aman polisi tni babinsa ujungujungnya cuma satu yg andal satpam bca,2
polisi damai tubuh sendiri tidak dapat andal jaga negara alibi oknum pagiii acab,2
kocak kalo lapor polisi belum mereka kerja hehe mending lapor bomba aja soal serba dan andal,2
masalah pihak siapa yg laku proses tegak hukum kpu bawaslu polisi semua lepas tangan ada yg diharapkandiandalkan dharmakun jerat pidana bukti salah catut nik warga,2
jenderal polisi listyo sigit prabowo sigit tekan capaja jadi perwira presisi prediktif responsibilitas transparan adil dapat andal bangsa negara,2
polisi tsb tangkap begal tetap gaji jadi apa motivasi mrk buat tangkap begal kalau bukan moralitas hindar kutu publik salah satu itu kalau viral jadi viral moral dua tidak dapat dian,2
memang polisi andal soal judol grup ferdi sambo cs pada sidik,2
siap jadi polisi remaja tanggung jawab profesional dapat andal,2
inti tega hukum tegak hukum utama polisi profesional dapat andal entah kapan pegang kuasa sadar hal,2
tesla tdk minat masuk pasar indonesia populasi sangat besar juta jiwa birokrasi koruptif tega hukum tidak andal abal rusak beratmulai polisi jaksa hakim hingga ma mk pileg da,2
wah selamat ulang tahun pak moga sehat selalu rejeki lancar amp,4
kdm tell me what you saw mouse potret polisi ramah tamah dapat andal warga,2
polri peduli cipta hubung akrab anakanak tugas polisi rupa langkah positif ubah persepsi anakanak polisi jadi sosok dapat andal bantu beri edukasi selamat jalan raya sejak dini,2
ganjarmahfud representasi harap masyarakat ada polisi hebat dapat andal,2
yg laku polisi bagus tapi lebih bagus y perintah jalan amanah uud pancasilakl benar sdh realisasi indonesia rakyat y sejahtera,2
moga tetap amanah bapak komandan baik yth jadi polisi sejati amanah tugas ayom juga cinta masyarakat ayom juga cinta segenap jajar bapak komandan baik yth aamiin yra,2
bravo kapolri polisi amanah jadi prioritas utama,2
harus polisi yg jadi kpk indonesia butuh orng pinter yg titel nya bait butuh orng benar yg kerja sesuai amanah rakyat semesta,2
selamat pokok beliau bapak komandan baik yth harap baik pokok beliau bapak komandan baik yth moga amanah tugas juga moga selalu jadi polisi sejati benar baik layan ayom me,2
moga jadi polisi sejati selalu jaga amanah tugas bapak komandan baik yth sukses,2
nah kan kok oknum laku peras cuma mutasi gak pecat diam diam naik pangkat gak bisa rekrut yg amanah polisi hasil nyogok kayak gin,2
yujiem ak kan awam motor nah motor ni pas baru nyala awal ngegas bunyi nyit gitu teh apa baik terus ga bengkel deket ugm yang murah amanah jawab biar pas bengkel ga polisi,2
bapak polisi abang polisi malu ga sih jd polisi saat hampir indonesia ngelaknat laku kalian polisi baik yg bener jujur amanah tutup sama laku oknum polisi rusak lain eh tp oknum kok banyak yaak moga cepet,2
tampil gambar ngaji utk tutup salah sama menginjakinjak kitab suci salah satu solehnya polisi saat jalan tugas dgn amanah rekayasa kasus tak peras turis malah bikin malu negara ingat bripka,2
mau situs teperccaya amanah gabung ajja nonstopdp kerja sama polisi slot sudah banyak member jpmaxwin kalau ga percaya coba aja dulu,2
